UniprotKB,r,theta,DC,CC,BC,EC,idr,nucleus,cytoplasm,endomembrane,multi
Q9BY67,18.75593274,3.002712161,8,1.90E-05,17153.17838,0.00206834,0,0,0,1,0
Q9NZW5,18.41082094,2.995988512,16,1.94E-05,2353.77585,0.0041062,0,0,0,0,0
O14920,15.61505575,4.573081851,114,2.40E-05,69682.60016,0.11891284,0,0,1,0,0
O43283,18.88372876,4.405145734,6,1.91E-05,119.0733029,0.00276649,0,0,0,0,1
O43524,17.45259666,4.856125851,40,2.32E-05,7364.067801,0.0626675,0,1,0,0,0
O75688,17.32089501,4.082533483,44,2.21E-05,35575.52561,0.03523192,0,0,0,0,1
O94885,18.57903459,3.395382222,12,2.05E-05,1872.050472,0.01249085,0,0,0,0,1
O95163,17.78009301,4.580794909,31,2.21E-05,16375.86553,0.03282203,0,0,0,0,1
O95999,18.0615678,4.076902132,24,2.09E-05,7165.825965,0.01402928,0,0,0,0,0
P11464,17.80404895,4.570872068,30,2.00E-05,21544.21368,0.00722101,0,0,0,0,0
P15509,19.00346762,4.381350809,4,1.90E-05,462.5024193,0.00224259,0,0,0,0,0
P15941,17.80433076,4.396639659,30,2.17E-05,13769.54921,0.02232469,1,0,0,1,0
P21580,16.77096499,4.055207599,62,2.25E-05,37466.45203,0.04162986,1,0,1,0,0
P30048,17.22734909,5.537497041,46,2.35E-05,23238.83427,0.07572702,0,0,0,0,1
P34931,16.42389587,4.587816335,75,2.39E-05,53250.25435,0.12648345,0,0,0,0,1
P35580,17.23082505,4.07504996,46,2.25E-05,28342.45693,0.05542756,0,0,1,0,0
P61626,18.28942085,6.182165467,19,2.11E-05,10299.31851,0.01735679,0,0,0,0,1
Q04759,18.20340104,4.533322513,21,2.10E-05,1804.754351,0.01605614,0,0,1,0,0
Q15653,17.65331237,4.998882494,34,2.13E-05,5943.673219,0.02654928,0,0,0,0,1
Q8NFZ5,17.22784639,4.711600734,46,2.15E-05,13261.5504,0.02815066,0,0,0,0,1
Q92574,16.96228189,4.330305805,55,2.26E-05,18935.71638,0.04622574,1,0,1,0,0
Q9H0F6,17.98858312,4.058143521,26,2.06E-05,4698.102688,0.01102645,0,0,0,0,1
Q9H936,17.75555811,4.325301116,32,2.17E-05,8053.224296,0.02867063,0,0,0,0,1
Q9NSC5,17.19346285,3.974691305,48,2.28E-05,30273.74764,0.02989005,0,0,0,0,1
Q9UDY8,17.96022494,4.058993518,27,2.14E-05,6580.918876,0.0216298,1,0,0,0,1
Q9UGK3,18.67055175,4.393133949,10,2.01E-05,8522.536195,0.0072264,0,0,0,0,0
Q9UKE5,16.89899693,3.924914689,58,2.21E-05,26357.02383,0.02227287,0,0,0,0,1
Q9ULW0,18.0896086,4.575182699,23,2.26E-05,3163.488744,0.03638576,0,0,0,0,1
Q9Y6Q9,16.8256093,4.844698055,60,2.35E-05,39883.46954,0.06934483,1,0,0,0,1
O14921,19.00104319,4.861597236,4,1.79E-05,114.9646506,0.00091497,0,0,0,0,0
O14924,18.67067179,3.372784432,10,2.05E-05,946.4519646,0.01157128,0,0,0,0,1
P36507,17.07523531,4.509380938,52,2.32E-05,13941.45359,0.0757378,0,0,1,0,0
P56559,18.29046874,1.123603208,19,1.95E-05,5197.119807,0.00295763,0,0,0,0,1
P63096,17.18985636,3.575417247,48,2.22E-05,63506.9168,0.02033912,0,0,0,0,1
O14925,18.32022683,3.250416937,18,2.00E-05,5871.034728,0.00419611,0,0,1,0,0
O60830,18.80178574,3.760740309,7,1.86E-05,548.1814113,0.0016816,0,0,1,0,0
Q2M1Z3,18.27693802,2.966248828,19,2.05E-05,2765.522228,0.0081583,0,0,0,0,0
