cooperative	common	V1	V2	degree_common	degree_V1	degree_V2	score_competitive	score_cooperative	paralog	quantile	thetad_V1_V2
0	Q05469	O60240	Q00G26	8	4	6	0.446	0.554	yes	1	1.386213772
0	Q2M3C7	Q9NYA1	Q9Y3B1	3	10	4	0.446	0.554	no	1	1.632406545
0	Q969J5	Q96DN5	Q9GZX6	2	8	3	0.446	0.554	no	1	1.124933879
0	P02008	P02042	P02100	10	8	4	0.448	0.552	yes	1	2.916897538
0	Q5T754	O14633	P60328	2	5	3	0.448	0.552	no	1	1.536925561
0	O95190	P11926	Q96A70	4	7	10	0.448	0.552	yes	1	3.319645602
0	Q96D03	Q9NPJ8	Q96PN8	8	10	8	0.448	0.552	no	1	1.900393713
0	P00742	P10646	Q9UK55	7	4	6	0.448	0.552	no	1	1.535009935
0	P24158	P11215	P24001	3	10	5	0.448	0.552	no	1	3.255218969
0	P31997	Q8TCW7	P40199	3	10	3	0.448	0.552	no	1	1.836978727
0	Q03403	P20366	Q96PJ5	2	7	5	0.448	0.552	no	1	1.429544041
0	Q16821	O60927	P26678	6	9	8	0.448	0.552	no	1	1.281131458
0	Q86UR1	Q53HV7	Q9Y5S8	6	4	4	0.448	0.552	no	1	2.434584823
0	Q8IYS1	P53370	P60022	7	10	8	0.45	0.55	no	1	0.34257063
0	Q9H0T7	Q9NZB8	Q96FZ7	7	10	10	0.45	0.55	no	1	1.076864007
0	Q9BY49	Q5T8I9	P31025	10	8	9	0.45	0.55	no	1	1.978386318
0	P35346	P21554	P31391	7	7	2	0.452	0.548	no	1	1.961157017
0	Q9NYA1	Q96S38	Q2M3C7	10	5	3	0.452	0.548	no	1	2.254958158
0	Q05469	Q99541	Q00G26	8	3	6	0.452	0.548	yes	1	1.386593983
0	Q16602	O60896	O60894	7	3	2	0.452	0.548	yes	1	2.519932538
0	P08697	P07477	P20151	5	6	7	0.452	0.548	no	1	1.54922376
0	P02042	P02008	P09105	8	10	3	0.452	0.548	yes	1	1.508348939
0	P28330	Q6ZMR5	Q8N9I0	5	6	5	0.452	0.548	no	1	2.479040451
0	Q8IVA1	Q5W186	Q9H6F2	7	4	6	0.452	0.548	no	1	1.817607991
0	Q99578	Q01959	Q01851	9	10	3	0.452	0.548	no	1	1.57536162
0	Q14721	O95259	Q8TDN2	9	5	4	0.452	0.548	no	1	1.135551734
0	Q9BY49	Q5T8I9	Q8NAT1	10	8	10	0.452	0.548	no	1	1.977868771
0	P0DMM9	Q15777	Q9BR01	6	8	9	0.454	0.546	no	1	0.589149989
0	Q9H0H3	Q96A84	O14682	6	4	8	0.454	0.546	no	1	0.423566281
0	P21728	Q6Y2X3	P35462	7	4	10	0.454	0.546	no	1	1.900908849
0	Q9NS61	Q9NZI2	Q9BRK0	9	4	5	0.454	0.546	no	1	1.589612603
0	Q8NAU1	P38405	Q03393	9	10	9	0.454	0.546	no	1	1.726137773
0	Q9NYD6	O75648	Q9NRS6	7	6	7	0.454	0.546	no	1	0.665176215
0	P33260	Q9NX78	P11712	3	6	7	0.454	0.546	no	1	1.515166412
0	Q9BR01	P50225	Q8TAM6	9	8	1	0.454	0.546	no	1	2.618079419
0	P21728	P30542	P35462	7	9	10	0.456	0.544	no	1	1.894941673
0	Q96T59	Q9Y4K4	Q8WV74	6	9	8	0.456	0.544	no	1	2.016709241
0	Q92874	Q9UMR3	Q9NTI7	10	7	4	0.456	0.544	no	1	0.217373605
0	O76014	Q14533	Q7RTS7	3	10	1	0.456	0.544	yes	1	1.644281255
0	Q9GZU5	O95372	Q5W111	10	8	5	0.456	0.544	no	1	1.340712938
0	P20701	P32942	Q9NQ30	10	7	1	0.456	0.544	no	1	1.928380424
0	Q9Y4K4	Q96T59	Q8IVH8	9	6	8	0.456	0.544	no	1	2.01680988
0	Q05329	Q969L2	Q96B96	6	9	5	0.456	0.544	no	1	1.207030096
0	Q93088	Q9H2M3	Q8N565	3	3	7	0.456	0.544	no	1	1.750503216
0	P0DMN0	Q15777	Q9BR01	6	8	9	0.458	0.542	no	1	0.589149989
0	Q86UL8	O00548	O75783	10	5	4	0.458	0.542	no	1	1.855273545
0	Q00G26	Q05469	Q86UD0	6	8	6	0.458	0.542	no	1	1.436442677
0	Q16890	Q969L2	Q96J77	8	9	7	0.458	0.542	no	1	0.305426892
0	P21854	Q92854	Q96LC7	8	8	5	0.458	0.542	no	1	2.785190382
0	Q4G0X4	Q14183	Q9P2G3	10	9	8	0.458	0.542	no	1	2.861833972
0	O60303	Q9H079	P20794	6	6	5	0.46	0.54	no	1	3.032586065
